tecnologia,tempo_ms,tamanho_bytes
REST,0.847500,325
GraphQL,1.056400,53
REST,0.674900,328
GraphQL,0.888300,56
REST,0.658500,325
GraphQL,0.841700,53
REST,0.708000,325
GraphQL,0.904700,57
REST,0.888000,328
GraphQL,1.014300,56
REST,0.714900,329
GraphQL,0.922200,52
REST,0.758300,326
GraphQL,0.851900,54
REST,0.641800,327
GraphQL,0.823200,59
REST,0.822800,330
GraphQL,1.138900,53
REST,0.699300,329
GraphQL,0.990700,52
REST,0.663500,326
GraphQL,0.879100,53
REST,0.659600,330
GraphQL,1.151200,56
REST,1.160100,325
GraphQL,1.739300,55
REST,0.915300,321
GraphQL,1.085500,50
REST,0.775400,324
GraphQL,1.171700,52
REST,0.914500,327
GraphQL,1.145800,52
REST,0.733700,320
GraphQL,1.055500,52
REST,0.682800,324
GraphQL,0.965500,53
REST,0.761300,329
GraphQL,1.259300,57
REST,0.841600,321
GraphQL,0.974000,50
REST,0.668900,321
GraphQL,0.870800,50
REST,0.643200,331
GraphQL,0.856000,57
REST,0.739900,320
GraphQL,1.120500,53
REST,0.783300,325
GraphQL,0.985700,57
REST,0.669100,327
GraphQL,0.964800,52
REST,0.805800,326
GraphQL,0.887900,54
REST,0.867900,327
GraphQL,1.040600,54
REST,0.693300,322
GraphQL,0.897400,53
REST,0.675400,325
GraphQL,0.860200,52
REST,0.656600,332
GraphQL,0.837400,57
REST,0.825800,325
GraphQL,1.115100,53
REST,0.804000,326
GraphQL,0.872500,57
REST,0.705100,325
GraphQL,0.849900,55
REST,0.648600,328
GraphQL,0.867100,56
REST,0.791800,327
GraphQL,0.980900,54
REST,0.762600,328
GraphQL,0.895700,55
REST,0.705100,328
GraphQL,0.853000,56
REST,0.673000,332
GraphQL,0.905000,57
REST,0.885400,324
GraphQL,1.166400,52
REST,0.870300,330
GraphQL,0.952100,53
REST,0.704600,328
GraphQL,0.879500,56
REST,0.662200,329
GraphQL,0.858000,57
REST,0.794300,326
GraphQL,1.076200,54
REST,0.699700,329
GraphQL,0.864200,57
REST,0.720900,326
GraphQL,0.848500,54
REST,0.674600,326
GraphQL,0.820200,53
REST,0.802300,329
GraphQL,1.116000,52
REST,0.858900,327
GraphQL,0.906000,54
REST,0.659500,320
GraphQL,0.857100,52
REST,0.701600,330
GraphQL,0.985200,56
REST,0.783900,330
GraphQL,0.958000,56
REST,0.723400,322
GraphQL,0.942500,53
REST,0.737100,329
GraphQL,0.877900,57
REST,0.658200,333
GraphQL,1.022600,58
REST,0.918400,327
GraphQL,0.982500,52
REST,0.776400,325
GraphQL,0.974600,53
REST,0.881000,325
GraphQL,0.860400,55
REST,0.638200,325
GraphQL,1.128800,55
REST,0.738300,327
GraphQL,0.960800,59
REST,0.677600,326
GraphQL,0.921900,54
REST,0.651800,325
GraphQL,0.914100,55
REST,0.685800,328
GraphQL,1.206700,56
REST,0.790300,325
GraphQL,0.891100,52
REST,0.672500,325
GraphQL,0.940700,55
REST,0.636700,329
GraphQL,0.824900,57
REST,0.644700,327
GraphQL,0.991100,54
REST,0.750000,322
GraphQL,0.938700,53
REST,0.708000,324
GraphQL,0.964100,52
REST,0.744000,326
GraphQL,0.889500,54
REST,0.751200,327
GraphQL,1.078000,59
REST,0.828500,330
GraphQL,0.923000,56
REST,0.702800,325
GraphQL,1.137100,57
REST,0.708500,325
GraphQL,0.825900,53
REST,0.826200,325
GraphQL,1.046200,55
REST,0.855800,326
GraphQL,0.960200,54
REST,0.663200,327
GraphQL,0.851100,54
REST,0.756500,329
GraphQL,0.872400,56
REST,0.849900,325
GraphQL,1.013200,57
REST,0.695800,322
GraphQL,0.896200,53
REST,0.660400,324
GraphQL,0.844200,55
REST,0.663800,329
GraphQL,0.915800,57
REST,0.780400,328
GraphQL,0.995600,56
REST,0.781600,325
GraphQL,1.118600,52
REST,0.770900,324
GraphQL,1.230800,53
REST,0.718900,329
GraphQL,1.000300,56
REST,0.829700,332
GraphQL,1.325300,57
REST,0.814900,329
GraphQL,0.974500,57
REST,0.782200,321
GraphQL,1.071500,50
REST,0.921000,327
GraphQL,1.306700,54
REST,0.724500,325
GraphQL,1.106400,53
REST,0.735300,331
GraphQL,0.944200,57
REST,0.806300,325
GraphQL,1.334900,51
REST,1.053800,325
GraphQL,1.153100,51
REST,0.919600,327
GraphQL,1.049200,53
REST,0.708900,325
GraphQL,0.890300,55
REST,0.825400,327
GraphQL,1.475600,56
REST,0.815300,325
GraphQL,0.968100,55
REST,0.726600,327
GraphQL,0.913400,56
REST,0.660500,325
GraphQL,1.132200,55
REST,1.014100,330
GraphQL,1.095000,57
REST,0.929900,327
GraphQL,1.105300,54
REST,0.782000,325
GraphQL,0.969400,55
REST,0.937500,325
GraphQL,1.241700,55
REST,0.857000,329
GraphQL,1.043300,56
REST,0.791600,332
GraphQL,1.052800,57
REST,0.717000,328
GraphQL,1.302400,54
REST,1.098100,329
GraphQL,1.206400,55
REST,0.762200,326
GraphQL,1.032400,54
REST,0.814900,320
GraphQL,1.133200,52
REST,1.002500,325
GraphQL,1.125400,55
REST,0.909800,326
GraphQL,0.985300,54
REST,0.831300,327
GraphQL,1.079500,52
REST,0.987000,325
GraphQL,1.590700,57
REST,0.837800,324
GraphQL,1.121100,53
REST,0.769100,328
GraphQL,1.254900,55
REST,0.995400,329
GraphQL,1.558500,52
REST,0.796000,328
GraphQL,1.104200,55
REST,0.738600,323
GraphQL,1.022500,53
REST,0.803000,329
GraphQL,1.271900,56
REST,0.947000,327
GraphQL,1.086200,56
REST,0.739100,326
GraphQL,1.057300,54
REST,0.702000,326
GraphQL,0.990100,55
REST,0.857300,324
GraphQL,1.338000,53
REST,0.883200,328
GraphQL,0.969100,56
REST,0.678900,325
GraphQL,0.933000,52
REST,0.658200,325
GraphQL,1.057100,53
REST,0.929000,324
GraphQL,1.090200,52
REST,0.852500,325
GraphQL,1.032500,51
REST,0.725500,332
GraphQL,0.923000,57
REST,0.810600,330
GraphQL,1.014000,53
REST,0.744400,324
GraphQL,0.930200,55
REST,0.680000,329
GraphQL,0.889400,57
REST,0.660100,326
GraphQL,0.882300,53
REST,0.733100,327
GraphQL,1.054600,52
REST,0.767800,328
GraphQL,1.084900,53
REST,0.705500,328
GraphQL,0.862800,55
REST,0.755000,326
GraphQL,0.821300,54
REST,0.889000,328
GraphQL,1.147800,54
REST,0.861900,325
GraphQL,0.931300,51
REST,0.686800,328
GraphQL,0.910200,54
REST,0.693000,330
GraphQL,0.931500,56
REST,0.834700,326
GraphQL,1.161400,55
REST,0.818300,328
GraphQL,0.964800,53
REST,0.784900,322
GraphQL,0.959000,53
REST,0.724700,327
GraphQL,1.281400,54
REST,0.893000,324
GraphQL,1.177800,53
REST,0.990900,324
GraphQL,0.979700,55
REST,0.686900,326
GraphQL,0.882200,54
REST,0.952600,328
GraphQL,1.041000,53
REST,0.686200,325
GraphQL,0.863600,52
REST,0.667700,327
GraphQL,0.871600,54
REST,0.695100,326
GraphQL,0.871600,57
REST,0.923400,326
GraphQL,1.037700,54
REST,0.706100,326
GraphQL,0.887500,53
REST,0.704000,320
GraphQL,0.833900,52
REST,0.626500,326
GraphQL,0.847500,54
REST,0.727500,321
GraphQL,0.930200,50
REST,0.713200,325
GraphQL,0.884100,55
REST,0.661000,326
GraphQL,0.964100,54
REST,0.704400,325
GraphQL,0.824900,53
REST,0.851600,324
GraphQL,1.175000,52
REST,0.663400,325
GraphQL,0.927400,55
REST,0.718500,330
GraphQL,0.856600,56
REST,0.794300,328
GraphQL,1.105300,53
REST,0.749000,327
GraphQL,0.946600,52
REST,0.740900,328
GraphQL,0.985300,54
REST,0.682100,327
GraphQL,0.870600,54
REST,0.641400,324
GraphQL,0.938300,52
REST,0.928800,320
GraphQL,1.091700,52
REST,0.700600,329
GraphQL,0.945100,55
