tecnologia,tempo_ms,tamanho_bytes
GraphQL,1.405473,55
REST,0.925727,328
GraphQL,1.288175,56
REST,0.841376,325
GraphQL,1.215141,51
REST,0.784447,322
GraphQL,1.472170,53
REST,0.881403,326
GraphQL,1.086960,55
REST,0.740172,325
GraphQL,1.217935,51
REST,1.089440,330
GraphQL,1.301856,56
REST,1.199820,325
GraphQL,2.050976,51
REST,0.838441,320
GraphQL,1.507208,52
REST,0.839903,322
GraphQL,1.114398,53
REST,1.020249,327
GraphQL,1.200432,56
REST,0.798816,326
GraphQL,1.184652,53
REST,1.271858,323
GraphQL,1.443385,53
REST,0.969781,328
GraphQL,1.190553,56
REST,0.861986,324
GraphQL,1.038873,52
REST,0.835109,328
GraphQL,1.104068,56
REST,0.709936,332
GraphQL,0.989489,57
REST,0.667515,323
GraphQL,1.130960,53
REST,0.778848,325
GraphQL,1.221462,55
REST,0.735855,327
GraphQL,1.163923,56
REST,0.715846,324
GraphQL,0.950715,52
REST,0.915228,326
GraphQL,1.117814,54
REST,0.774930,327
GraphQL,1.255138,52
REST,0.874499,325
GraphQL,0.997774,55
REST,0.693504,325
GraphQL,0.921880,55
REST,0.845655,325
GraphQL,0.972206,52
REST,0.695608,328
GraphQL,0.909536,56
REST,0.896231,324
GraphQL,0.977266,53
REST,0.702373,322
GraphQL,0.900720,53
REST,0.806575,330
GraphQL,1.106533,57
REST,0.820820,330
GraphQL,1.117202,56
REST,0.775521,324
GraphQL,1.067697,52
REST,0.702930,326
GraphQL,1.032830,55
REST,0.837308,327
GraphQL,1.065074,54
REST,0.779924,320
GraphQL,1.112335,52
REST,0.845098,328
GraphQL,1.083978,53
REST,0.712009,325
GraphQL,1.023905,51
REST,0.933841,326
GraphQL,1.150736,54
REST,0.908836,325
GraphQL,1.307597,51
REST,0.771455,327
GraphQL,1.045087,54
REST,0.844172,325
GraphQL,1.412556,55
REST,0.810638,322
GraphQL,1.288381,53
REST,0.924695,326
GraphQL,1.138935,57
REST,0.828514,326
GraphQL,1.097400,57
REST,0.967083,328
GraphQL,1.205717,56
REST,0.818428,322
GraphQL,1.554528,53
REST,0.876073,322
GraphQL,1.129416,53
REST,0.957974,325
GraphQL,1.194140,51
REST,0.787614,325
GraphQL,1.160901,55
REST,1.062636,328
GraphQL,1.223138,53
REST,0.738188,326
